coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
org.eclipse.jetty.websocket:javax-websocket-server-impl,9.4.58.v20250814,bytecode-pass,12.1.8,unverified-artifact,12.1.8,unverified-artifact,
org.eclipse.jetty.websocket:websocket-api,9.4.58.v20250814,bytecode-pass,12.1.8,unverified-artifact,12.1.8,unverified-artifact,
org.eclipse.jetty.websocket:websocket-client,9.4.58.v20250814,bytecode-pass,12.1.8,unverified-artifact,12.1.8,unverified-artifact,
org.eclipse.jetty.websocket:websocket-common,9.4.58.v20250814,bytecode-pass,12.1.8,unverified-artifact,12.1.8,unverified-artifact,
org.eclipse.jetty.websocket:websocket-server,9.4.58.v20250814,bytecode-pass,12.1.8,unverified-artifact,12.1.8,unverified-artifact,
org.eclipse.jetty.websocket:websocket-servlet,9.4.58.v20250814,bytecode-pass,12.1.8,unverified-artifact,12.1.8,unverified-artifact,
org.eclipse.jetty:jetty-http,,absent,12.1.8,bytecode-pass,12.1.8,bytecode-pass,
org.eclipse.jetty:jetty-io,,absent,12.1.8,bytecode-pass,12.1.8,bytecode-pass,
org.eclipse.jetty:jetty-reactive-httpclient,,absent,4.1.4,bytecode-pass,4.1.4,bytecode-pass,
org.eclipse.jetty:jetty-server,9.4.57.v20241219,bytecode-pass,12.1.8,bytecode-pass,12.1.8,bytecode-pass,
org.eclipse.jetty:jetty-util,9.4.57.v20241219,bytecode-pass,12.1.8,bytecode-pass,12.1.8,bytecode-pass,
org.eclipse.microprofile.config:microprofile-config-api,2.0.1,bytecode-pass,3.1.1,bytecode-pass,3.1.1,bytecode-pass,
org.eclipse.paho:org.eclipse.paho.client.mqttv3,1.2.5,bytecode-pass,1.2.5,bytecode-pass,1.2.5,bytecode-pass,
org.eclipse.paho:org.eclipse.paho.mqttv5.client,1.2.5,bytecode-pass,1.2.5,bytecode-pass,1.2.5,bytecode-pass,
org.eclipse:yasson,1.0.8,bytecode-pass,3.0.4,bytecode-pass,3.0.4,bytecode-pass,
org.ehcache:ehcache,3.8.2,bytecode-pass,3.12.0,bytecode-pass,3.12.0,bytecode-pass,
org.elasticsearch.client:elasticsearch-rest-client,,absent,9.2.1,bytecode-pass,9.2.1,bytecode-pass,
org.elasticsearch.client:elasticsearch-rest-client-sniffer,,absent,9.2.1,bytecode-pass,9.2.1,bytecode-pass,
org.firebirdsql.jdbc:jaybird,,absent,5.0.10.java11,bytecode-pass,5.0.10.java11,bytecode-pass,
org.flowable:flowable-content-spring-configurator,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flowable:flowable-form-spring-configurator,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flowable:flowable-groovy-script-static-engine,,unsupported,7.2.0,bytecode-pass,7.2.0,bytecode-pass,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
org.flowable:flowable-process-engine-mongodb,6.4.0.alpha1,bytecode-pass,6.4.0.alpha1,bytecode-pass,6.4.0.alpha1,bytecode-pass,
org.flowable:flowable-ui-admin-logic,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flowable:flowable-ui-idm-logic,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flowable:flowable-ui-modeler-conf,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flowable:flowable-ui-modeler-logic,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flowable:flowable-ui-modeler-rest,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flowable:flowable-ui-task-conf,6.8.1,bytecode-pass,7.2.0,unverified-artifact,7.2.0,unverified-artifact,
org.flywaydb:flyway-commandline,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-core,8.5.13,bytecode-pass,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-cassandra,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-db2,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-derby,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-hsqldb,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-informix,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-mongodb,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-oracle,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-postgresql,8.5.13,unverified-artifact,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-redshift,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-saphana,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-snowflake,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-database-sybasease,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-firebird,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-gcp-bigquery,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-gcp-spanner,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-mysql,8.5.13,bytecode-pass,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-singlestore,,absent,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.flywaydb:flyway-sqlserver,8.5.13,bytecode-pass,11.19.0,bytecode-pass,11.19.0,bytecode-pass,
org.freemarker:freemarker,2.3.28,bytecode-pass,2.3.34,bytecode-pass,2.3.34,bytecode-pass,
org.gavaghan:geodesy,1.1.3,bytecode-pass,1.1.3,bytecode-pass,1.1.3,bytecode-pass,
org.glassfish.expressly:expressly,,replacement,6.0.0,bytecode-pass,6.0.0,bytecode-pass,
org.glassfish.grizzly:grizzly-comet,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-comet-server,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-core,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-extras,2.4.4,pom,4.1.0-M1,pom,4.1.0-M1,pom,
org.glassfish.grizzly:grizzly-http,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-all,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-client,1.16,bytecode-pass,1.16,bytecode-pass,1.16,bytecode-pass,
org.glassfish.grizzly:grizzly-http-monitoring,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-server,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-server-monitoring,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-server-multipart,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-servlet,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-servlet-extras,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http-servlet-server,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-http2,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-monitoring,2.4.4,pom,4.1.0-M1,pom,4.1.0-M1,pom,
org.glassfish.grizzly:grizzly-portunif,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-websockets,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.grizzly:grizzly-websockets-server,2.4.4,bytecode-pass,4.1.0-M1,bytecode-pass,4.1.0-M1,bytecode-pass,
org.glassfish.web:jakarta.servlet.jsp.jstl,,absent,3.0.1,bytecode-pass,3.0.1,bytecode-pass,
org.glassfish:javax.el,3.0.1-b12,bytecode-pass,,replacement,,replacement,
org.hamcrest:hamcrest,2.2,bytecode-pass,3.0,bytecode-pass,3.0,bytecode-pass,
org.hamcrest:hamcrest-core,,absent,3.0,bytecode-pass,3.0,bytecode-pass,
org.hamcrest:hamcrest-library,1.3,bytecode-pass,3.0,bytecode-pass,3.0,bytecode-pass,
org.hdrhistogram:HdrHistogram,2.2.2,bytecode-pass,2.2.2,bytecode-pass,2.2.2,bytecode-pass,
org.hibernate.validator:hibernate-validator,6.2.5.Final,bytecode-pass,8.0.4.Final,bytecode-pass,8.0.4.Final,bytecode-pass,
org.hibernate.validator:hibernate-validator-annotation-processor,6.2.5.Final,bytecode-pass,8.0.4.Final,bytecode-pass,8.0.4.Final,bytecode-pass,
org.hibernate:hibernate-core,5.6.15.Final,bytecode-pass,,replacement,,replacement,
