coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
org.pf4j:pf4j-spring,0.8.0,bytecode-pass,0.10.0,bytecode-pass,0.10.0,bytecode-pass,
org.pf4j:pf4j-update,2.3.0,bytecode-pass,2.3.0,bytecode-pass,2.3.0,bytecode-pass,
org.postgresql:postgresql,42.5.4,bytecode-pass,42.7.8,bytecode-pass,42.7.8,bytecode-pass,
org.postgresql:r2dbc-postgresql,1.1.2.RELEASE,bytecode-pass,1.1.2.RELEASE,bytecode-pass,1.1.2.RELEASE,bytecode-pass,
org.projectlombok:lombok,1.18.46,bytecode-pass,1.18.46,bytecode-pass,1.18.46,bytecode-pass,
org.quartz-scheduler:quartz,2.3.2,bytecode-pass,2.5.2,bytecode-pass,2.5.2,bytecode-pass,
org.quartz-scheduler:quartz-jobs,2.3.2,bytecode-pass,2.5.2,bytecode-pass,2.5.2,bytecode-pass,
org.reactivestreams:reactive-streams,1.0.4,bytecode-pass,1.0.4,bytecode-pass,1.0.4,bytecode-pass,
org.redisson:redisson,3.52.0,bytecode-pass,3.52.0,bytecode-pass,3.52.0,bytecode-pass,
org.redisson:redisson-mybatis,3.52.0,bytecode-pass,3.52.0,bytecode-pass,3.52.0,bytecode-pass,
org.redisson:redisson-spring-data-33,3.52.0,bytecode-pass,3.52.0,bytecode-pass,3.52.0,bytecode-pass,
org.reflections:reflections,0.10.2,bytecode-pass,0.10.2,bytecode-pass,0.10.2,bytecode-pass,
org.scala-lang:scala3-library_3,3.3.5,bytecode-pass,3.5.2,bytecode-pass,3.5.2,bytecode-pass,
org.scijava:jep,2.4.2,bytecode-pass,2.4.2,bytecode-pass,2.4.2,bytecode-pass,
org.scijava:native-lib-loader,2.5.0,bytecode-pass,2.5.0,bytecode-pass,2.5.0,bytecode-pass,
