coordinate	declared_expression	selected_spdx	evidence_url	evidence_type	justification
jakarta.interceptor:jakarta.interceptor-api:2.1.0	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/jakarta/interceptor/jakarta.interceptor-api/2.1.0/jakarta.interceptor-api-2.1.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.interceptor:jakarta.interceptor-api:2.2.0	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/jakarta/interceptor/jakarta.interceptor-api/2.2.0/jakarta.interceptor-api-2.2.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.jms:jakarta.jms-api:3.1.0	Eclipse Public License 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/jakarta/jms/jakarta.jms-api/3.1.0/jakarta.jms-api-3.1.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.json:jakarta.json-api:2.1.3	Eclipse Public License 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/jakarta/json/jakarta.json-api/2.1.3/jakarta.json-api-2.1.3.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.json.bind:jakarta.json.bind-api:3.0.1	Eclipse Public License 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/jakarta/json/bind/jakarta.json.bind-api/3.0.1/jakarta.json.bind-api-3.0.1.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.persistence:jakarta.persistence-api:3.2.0	Eclipse Distribution License v. 1.0 OR Eclipse Public License v. 2.0	EPL-2.0	https://repo1.maven.org/maven2/jakarta/persistence/jakarta.persistence-api/3.2.0/jakarta.persistence-api-3.2.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.resource:jakarta.resource-api:2.1.0	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/jakarta/resource/jakarta.resource-api/2.1.0/jakarta.resource-api-2.1.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.servlet:jakarta.servlet-api:6.1.0	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/jakarta/servlet/jakarta.servlet-api/6.1.0/jakarta.servlet-api-6.1.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.transaction:jakarta.transaction-api:2.0.1	EPL 2.0 OR GPL2 w/ CPE	EPL-2.0	https://repo1.maven.org/maven2/jakarta/transaction/jakarta.transaction-api/2.0.1/jakarta.transaction-api-2.0.1.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.websocket:jakarta.websocket-api:2.2.0	Eclipse Public License v. 2.0 OR GNU General Public License, version 2 with the GNU Classpath Exception	EPL-2.0	https://repo1.maven.org/maven2/jakarta/websocket/jakarta.websocket-api/2.2.0/jakarta.websocket-api-2.2.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.ws.rs:jakarta.ws.rs-api:3.0.0	EPL-2.0 OR GPL-2.0-with-classpath-exception	EPL-2.0	https://repo1.maven.org/maven2/jakarta/ws/rs/jakarta.ws.rs-api/3.0.0/jakarta.ws.rs-api-3.0.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
jakarta.ws.rs:jakarta.ws.rs-api:3.1.0	EPL-2.0 OR GPL-2.0-with-classpath-exception	EPL-2.0	https://repo1.maven.org/maven2/jakarta/ws/rs/jakarta.ws.rs-api/3.1.0/jakarta.ws.rs-api-3.1.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
net.java.dev.jna:jna:5.18.1	Apache-2.0 OR LGPL-2.1-or-later	Apache-2.0	https://repo1.maven.org/maven2/net/java/dev/jna/jna/5.18.1/jna-5.18.1.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
net.java.dev.jna:jna:5.8.0	Apache License v2.0 OR LGPL, version 2.1	Apache-2.0	https://repo1.maven.org/maven2/net/java/dev/jna/jna/5.8.0/jna-5.8.0.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
net.java.dev.jna:jna-jpms:5.14.0	Apache-2.0 OR LGPL-2.1-or-later	Apache-2.0	https://repo1.maven.org/maven2/net/java/dev/jna/jna-jpms/5.14.0/jna-jpms-5.14.0.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
net.java.dev.jna:jna-jpms:5.19.1	Apache-2.0 OR LGPL-2.1-or-later	Apache-2.0	https://repo1.maven.org/maven2/net/java/dev/jna/jna-jpms/5.19.1/jna-jpms-5.19.1.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
net.java.dev.jna:jna-platform-jpms:5.19.1	Apache-2.0 OR LGPL-2.1-or-later	Apache-2.0	https://repo1.maven.org/maven2/net/java/dev/jna/jna-platform-jpms/5.19.1/jna-platform-jpms-5.19.1.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.apache.rocketmq:rocketmq-rocksdb:1.0.6	Apache License 2.0 OR GNU General Public License, version 2	Apache-2.0	https://repo1.maven.org/maven2/org/apache/rocketmq/rocketmq-rocksdb/1.0.6/rocketmq-rocksdb-1.0.6.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse:yasson:3.0.4	Eclipse Distribution License v. 1.0 OR Eclipse Public License v. 2.0	EPL-2.0	https://repo1.maven.org/maven2/org/eclipse/yasson/3.0.4/yasson-3.0.4.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-annotations:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-annotations/12.1.8/jetty-annotations-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
