coordinate	declared_expression	selected_spdx	evidence_url	evidence_type	justification
org.glassfish.jersey.core:jersey-server:3.1.11	Apache License, 2.0 OR EPL 2.0 OR Modified BSD OR The GNU General Public License (GPL), Version 2, With Classpath Exception	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/core/jersey-server/3.1.11/jersey-server-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.ext:jersey-bean-validation:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/ext/jersey-bean-validation/3.1.11/jersey-bean-validation-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.ext:jersey-metainf-services:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/ext/jersey-metainf-services/3.1.11/jersey-metainf-services-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.ext.cdi:jersey-cdi1x:3.0.18	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/ext/cdi/jersey-cdi1x/3.0.18/jersey-cdi1x-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.ext.cdi:jersey-weld2-se:3.0.18	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/ext/cdi/jersey-weld2-se/3.0.18/jersey-weld2-se-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.inject:jersey-hk2:3.0.18	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/inject/jersey-hk2/3.0.18/jersey-hk2-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.inject:jersey-hk2:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/inject/jersey-hk2/3.1.11/jersey-hk2-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.media:jersey-media-jaxb:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/media/jersey-media-jaxb/3.1.11/jersey-media-jaxb-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.media:jersey-media-json-binding:3.0.18	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/media/jersey-media-json-binding/3.0.18/jersey-media-json-binding-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.media:jersey-media-json-processing:3.0.18	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/media/jersey-media-json-processing/3.0.18/jersey-media-json-processing-3.0.18.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.test-framework:jersey-test-framework-core:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/test-framework/jersey-test-framework-core/3.1.11/jersey-test-framework-core-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-inmemory:3.1.11	Apache License, 2.0 OR BSD 2-Clause OR EDL 1.0 OR EPL 2.0 OR GPL2 w/ CPE OR MIT license OR Modified BSD OR Public Domain OR W3C license OR jQuery license	Apache-2.0	https://repo1.maven.org/maven2/org/glassfish/jersey/test-framework/providers/jersey-test-framework-provider-inmemory/3.1.11/jersey-test-framework-provider-inmemory-3.1.11.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.javassist:javassist:3.32.0-GA	Apache License 2.0 OR LGPL 2.1 OR MPL 1.1	Apache-2.0	https://repo1.maven.org/maven2/org/javassist/javassist/3.32.0-GA/javassist-3.32.0-GA.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.locationtech.jts:jts-core:1.19.0	Eclipse Distribution License - v 1.0 OR Eclipse Public License, Version 2.0	EPL-2.0	https://repo1.maven.org/maven2/org/locationtech/jts/jts-core/1.19.0/jts-core-1.19.0.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
org.reflections:reflections:0.10.2	The Apache Software License, Version 2.0 OR WTFPL	Apache-2.0	https://repo1.maven.org/maven2/org/reflections/reflections/0.10.2/reflections-0.10.2.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
